# Engine event dates; generated by tools/ExportEngineEventDates.java.
# Holy days: 1980-2050; recurrences only outside captured years 2000-2030.
# Calculated dates, not official holiday declarations.
# columns=id,date
calculated:meak_bochea	1991-01-30
sil	1991-01-30
sil	1991-02-07
sil	1991-02-13
calculated:valentine_day	1991-02-14
sil	1991-02-21
sil	1991-02-28
sil	1991-03-08
sil	1991-03-15
sil	1991-03-23
sil	1991-03-30
sil	1991-04-07
sil	1991-04-13
calculated:khmer_new_year_1	1991-04-14
calculated:khmer_new_year_2	1991-04-15
calculated:khmer_new_year_3	1991-04-16
sil	1991-04-21
calculated:visak_bochea	1991-04-28
sil	1991-04-28
calculated:royal_ploughing_ceremony	1991-05-02
sil	1991-05-06
sil	1991-05-13
sil	1991-05-21
sil	1991-05-28
sil	1991-06-05
sil	1991-06-11
sil	1991-06-19
sil	1991-06-26
sil	1991-07-04
sil	1991-07-11
calculated:buddhist_lent_candles_making_day	1991-07-19
sil	1991-07-19
calculated:the_ordained_dragon_monk	1991-07-25
sil	1991-07-26
calculated:beginning_buddhist_lent	1991-07-27
sil	1991-08-03
sil	1991-08-10
sil	1991-08-18
sil	1991-08-25
sil	1991-09-02
sil	1991-09-08
sil	1991-09-16
sil	1991-09-23
calculated:ben_1	1991-09-24
calculated:ben_2	1991-09-25
calculated:ben_3	1991-09-26
calculated:ben_4	1991-09-27
calculated:ben_5	1991-09-28
calculated:ben_6	1991-09-29
calculated:ben_7	1991-09-30
calculated:ben_8	1991-10-01
sil	1991-10-01
calculated:ben_9	1991-10-02
calculated:ben_10	1991-10-03
calculated:ben_11	1991-10-04
calculated:ben_12	1991-10-05
calculated:ben_13	1991-10-06
calculated:pchum_ben_festival	1991-10-07
calculated:pchum_ben_festival	1991-10-08
sil	1991-10-08
calculated:pchum_ben_festival	1991-10-09
sil	1991-10-16
calculated:ending_buddhist_lent	1991-10-23
sil	1991-10-23
calculated:kathen_kal	1991-10-24
sil	1991-10-31
sil	1991-11-06
sil	1991-11-14
calculated:water_festival	1991-11-20
calculated:water_festival	1991-11-21
sil	1991-11-21
calculated:water_festival	1991-11-22
sil	1991-11-29
sil	1991-12-06
sil	1991-12-14
sil	1991-12-21
calculated:christmas_day	1991-12-25
sil	1991-12-29
calculated:new_year_day	1992-01-01
sil	1992-01-04
sil	1992-01-12
sil	1992-01-19
sil	1992-01-27
sil	1992-02-03
sil	1992-02-11
calculated:valentine_day	1992-02-14
calculated:meak_bochea	1992-02-18
sil	1992-02-18
sil	1992-02-26
sil	1992-03-03
sil	1992-03-11
sil	1992-03-18
sil	1992-03-26
sil	1992-04-02
sil	1992-04-10
calculated:khmer_new_year_1	1992-04-13
calculated:khmer_new_year_2	1992-04-14
calculated:khmer_new_year_3	1992-04-15
sil	1992-04-17
sil	1992-04-25
sil	1992-05-01
sil	1992-05-09
calculated:visak_bochea	1992-05-16
sil	1992-05-16
calculated:royal_ploughing_ceremony	1992-05-20
sil	1992-05-24
sil	1992-05-31
sil	1992-06-08
sil	1992-06-15
sil	1992-06-23
