# Khmer Calendar event snapshot v1
# source=https://khmer-lunar-calendar.com/
# captured_at=2026-09-10T05:42:30.174Z
# coverage=2000-01-01/2030-12-31
# database_sha256=6efda12f4ec4435fe43e3a11da00bea2e2d305149d64062c5c60f04f7f5765d1
# columns=id,date,title_km,title_en,official_source_url
49720f98d9f72cec537addf1	2000-11-12	ព្រះ​រាជ​ពិធី​បុណ្យ​អុំ​ទូក បណ្ដែត​ប្រទីប និង​សំពះ​ព្រះ​ខែ អកអំបុក	Water Festival	
150207bc355d77e1f02e5212	2000-12-01	ទិវា​ពិភព​លោក​ប្រ​យុទ្ធ​ប្រឆាំង​នឹងជម្ងឺអេដស៍	World AIDS Day	
239fa7d2ff56796c84daa4a1	2000-12-03	ទិវា​ជន​ពិ​ការ​ពិភព​លោក	International Day of Disabled Persons	
6dfa068b59e6dc423dc16e83	2000-12-07	ទិវា​អា​កាស​ចរណ៍ស៊ីវិល	Civil Aviation Day	
65665c8ba68806ba852f83c4	2000-12-10	ទិវា​សិទ្ធិ​មនុស្ស​អន្តរជាតិ ខួបលើកទី៥២	International Human Rights Day	
414b8edbb01c16f5190d3c7e	2000-12-14	តំបន់​រមណី​ដ្ឋាន​អង្គរ ត្រូវ​បាន​ចុះ​ក្នុង​បញ្ជី​បេតិក​ភណ្ឌ​ពិភពលោករបស់អង្គការយូណេស្កូ ខួបលើកទី៨	Angkor was inscribed on the UNESCO World Heritage List	
8b8edf76d4653a9a832fbb02	2000-12-14	កម្ពុជា​ចូល​ជា​សមា​ជិក​អង្គ​ការ​សហ​ប្រជាជាតិ ខួបលើកទី៤៥	Cambodia became a member of the United Nations	
b1539f246ee5a32414bf98d7	2000-12-21	សែន​នំ​អ៉ី	Winter Solstice Festival	
692bacac2c1e4913a0ac44ec	2000-12-25	បុណ្យ​​គ្រិស្ត​​ម៉ាស	Christmas Day	
7d30426c98428698236deb8d	2000-12-29	ទិវា​នយោ​បាយ​ឈ្នះ ឈ្នះ	Win-win Policy Day	
495d84c5e0dd3e7f8e7bf23e	2001-01-01	ទិវា​ចូល​ឆ្នាំ​សាកល	New Year's Day	
31107094b8a1aa83c2c82257	2001-01-07	ទិវា​ជ័យ​ជម្នះ​លើ​របប​ប្រល័យ​ពូជ​សាសន៍ ខួបលើកទី២២	Victory Over Genocide Day	
8348c12fac31a3af0ca83a15	2001-01-18	ថ្ងៃ​សែន​ដក​ជើង​ធូប	Kitchen God Festival	
7cfa80896ebbce9ed719bd93	2001-01-23	ថ្ងៃ​សែន​ចូល​ឆ្នាំ​ចិន	Chinese New Year's Eve	
5d39ab6e1491653b380bfb97	2001-01-24	ចូល​ឆ្នាំ​ចិន	Chinese New Year	
f45840a9e578197efb0beb1e	2001-01-25	ចូល​ឆ្នាំ​ចិន	Chinese New Year	
9a0eca91def564d92fb4b2ed	2001-01-26	ចូល​ឆ្នាំ​ចិន	Chinese New Year	
